gtdb_species_clade_id,GTDB_species,GTDB_taxonomy,no_genomes,no_core,no_accessory,no_singletons,no_gene_clusters,no_CDSes,mean_intra_species_ANI,ANI_circumscription_radius,domain,phylum,class,order,family,genus,pct_core,pct_accessory,pct_singletons,openness,avg_genes_per_genome,rep_genome,in_tree
s__Geothrix_sp903857495--GB_GCA_903857495.1,s__Geothrix_sp903857495,d__Bacteria;p__Acidobacteriota;c__Holophagae;o__Holophagales;f__Holophagaceae;g__Geothrix,50,2610,398,260.0,3008,157849,99.99,95.0,Bacteria,Acidobacteriota,Holophagae,Holophagales,Holophagaceae,Geothrix,86.77,13.23,8.64,0.152,3157.0,GB_GCA_903857495.1,True
s__Bacillus_velezensis--RS_GCF_001461825.1,s__Bacillus_velezensis,d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus,647,2687,25481,16612.0,28168,2521911,98.13,95.0,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,9.54,90.46,58.97,9.483,3898.0,RS_GCF_001461825.1,True
s__Mammaliicoccus_lentus--RS_GCF_002902755.1,s__Mammaliicoccus_lentus,d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Mammaliicoccus,48,1875,3882,2292.0,5757,129981,99.09,95.0,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Mammaliicoccus,32.57,67.43,39.81,2.07,2708.0,RS_GCF_002902755.1,True
s__Bacillus_A_thuringiensis_K--RS_GCF_001595725.1,s__Bacillus_A_thuringiensis_K,d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A,21,3492,6719,3568.0,10211,128624,99.03,96.827,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae_G,Bacillus_A,34.2,65.8,34.94,1.924,6125.0,RS_GCF_001595725.1,True
s__Vagococcus_fluvialis--RS_GCF_003337315.1,s__Vagococcus_fluvialis,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Vagococcaceae;g__Vagococcus,20,1659,3527,1626.0,5186,56468,98.36,95.0,Bacteria,Bacillota,Bacilli,Lactobacillales,Vagococcaceae,Vagococcus,31.99,68.01,31.35,2.126,2823.0,RS_GCF_003337315.1,True
s__Bacillus_paralicheniformis--RS_GCF_001042485.2,s__Bacillus_paralicheniformis,d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus,110,3008,9167,5706.0,12175,481919,98.7,95.0745,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,24.71,75.29,46.87,3.048,4381.0,RS_GCF_001042485.2,True
s__Paenibacillus_polymyxa_B--RS_GCF_001719045.1,s__Paenibacillus_polymyxa_B,d__Bacteria;p__Bacillota;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus,36,2953,12054,7466.0,15007,191452,96.4,95.0,Bacteria,Bacillota,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,19.68,80.32,49.75,4.082,5318.0,RS_GCF_001719045.1,True
s__Streptococcus_mitis_BA--RS_GCF_900411395.1,s__Streptococcus_mitis_BA,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus,14,1359,1188,394.0,2547,28430,95.49,95.0,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,53.36,46.64,15.47,0.874,2031.0,RS_GCF_900411395.1,True
s__Weissella_cibaria--RS_GCF_000193635.1,s__Weissella_cibaria,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella,82,1534,8334,5431.0,9868,189662,98.15,95.0,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Weissella,15.55,84.45,55.04,5.433,2313.0,RS_GCF_000193635.1,True
s__Streptococcus_infantarius--RS_GCF_000154985.1,s__Streptococcus_infantarius,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus,23,1198,4022,2577.0,5220,44551,97.71,95.0,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,22.95,77.05,49.37,3.357,1937.0,RS_GCF_000154985.1,True
s__Tetragenococcus_koreensis--RS_GCF_003795145.1,s__Tetragenococcus_koreensis,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Tetragenococcus,22,1621,1451,348.0,3072,55444,98.83,95.0,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Tetragenococcus,52.77,47.23,11.33,0.895,2520.0,RS_GCF_003795145.1,True
s__Exiguobacterium_mexicanum--RS_GCF_005960665.1,s__Exiguobacterium_mexicanum,d__Bacteria;p__Bacillota;c__Bacilli;o__Exiguobacterales;f__Exiguobacteraceae;g__Exiguobacterium,17,2122,2744,1711.0,4866,51508,97.14,95.0,Bacteria,Bacillota,Bacilli,Exiguobacterales,Exiguobacteraceae,Exiguobacterium,43.61,56.39,35.16,1.293,3030.0,RS_GCF_005960665.1,True
s__Faecalibacillus_intestinalis--RS_GCF_003024685.1,s__Faecalibacillus_intestinalis,d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Coprobacillaceae;g__Faecalibacillus,65,1576,11821,7052.0,13397,191900,97.67,95.0,Bacteria,Bacillota,Bacilli,Erysipelotrichales,Coprobacillaceae,Faecalibacillus,11.76,88.24,52.64,7.501,2952.0,RS_GCF_003024685.1,True
s__Aerococcus_urinaeequi--RS_GCF_001543205.1,s__Aerococcus_urinaeequi,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Aerococcus,20,1245,2520,1488.0,3765,36318,96.54,95.0,Bacteria,Bacillota,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,33.07,66.93,39.52,2.024,1816.0,RS_GCF_001543205.1,True
s__Dolosigranulum_pigrum--RS_GCF_000245815.1,s__Dolosigranulum_pigrum,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Dolosigranulum,31,1216,2269,1128.0,3485,55110,97.46,95.0,Bacteria,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,Dolosigranulum,34.89,65.11,32.37,1.866,1778.0,RS_GCF_000245815.1,True
s__Liquorilactobacillus_nagelii--RS_GCF_019444005.1,s__Liquorilactobacillus_nagelii,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Liquorilactobacillus,10,1483,1855,872.0,3338,23395,98.59,95.0,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Liquorilactobacillus,44.43,55.57,26.12,1.251,2340.0,RS_GCF_019444005.1,True
s__Bacillus_H_clausii--RS_GCF_002250115.1,s__Bacillus_H_clausii,d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales_H;f__Bacillaceae_D;g__Bacillus_H,15,2825,3342,2179.0,6167,67553,98.71,95.4953,Bacteria,Bacillota,Bacilli,Bacillales_H,Bacillaceae_D,Bacillus_H,45.81,54.19,35.33,1.183,4504.0,RS_GCF_002250115.1,True
s__Mycoplasmopsis_A_synoviae--RS_GCF_000969765.1,s__Mycoplasmopsis_A_synoviae,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Metamycoplasmataceae;g__Mycoplasmopsis_A,18,513,569,265.0,1082,12767,99.0,95.0,Bacteria,Bacillota,Bacilli,Mycoplasmatales,Metamycoplasmataceae,Mycoplasmopsis_A,47.41,52.59,24.49,1.109,709.0,RS_GCF_000969765.1,True
s__Staphylococcus_carnosus--RS_GCF_900458435.1,s__Staphylococcus_carnosus,d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus,21,1824,1689,738.0,3513,54083,99.75,95.0,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,51.92,48.08,21.01,0.926,2575.0,RS_GCF_900458435.1,True
s__Leuconostoc_gelidum--RS_GCF_000166715.1,s__Leuconostoc_gelidum,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc,19,1258,1637,677.0,2895,35493,98.43,95.0,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc,43.45,56.55,23.39,1.301,1868.0,RS_GCF_000166715.1,True
s__Bacillus_atrophaeus--RS_GCF_001584335.1,s__Bacillus_atrophaeus,d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus,40,2773,5871,3887.0,8644,165343,98.53,95.0,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,32.08,67.92,44.97,2.117,4134.0,RS_GCF_001584335.1,True
s__Listeria_monocytogenes_C--RS_GCF_013282665.1,s__Listeria_monocytogenes_C,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Listeriaceae;g__Listeria,166,1968,4181,1849.0,6149,468886,95.81,95.0,Bacteria,Bacillota,Bacilli,Lactobacillales,Listeriaceae,Listeria,32.01,67.99,30.07,2.124,2825.0,RS_GCF_013282665.1,True
s__Lactobacillus_amylovorus--RS_GCF_002706375.1,s__Lactobacillus_amylovorus,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus,35,1146,7036,4325.0,8182,69121,97.5,95.0,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,14.01,85.99,52.86,6.14,1975.0,RS_GCF_002706375.1,True
s__Listeria_cossartiae--RS_GCF_014224155.1,s__Listeria_cossartiae,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Listeriaceae;g__Listeria,10,2005,1202,738.0,3207,28078,97.71,95.0,Bacteria,Bacillota,Bacilli,Lactobacillales,Listeriaceae,Listeria,62.52,37.48,23.01,0.6,2808.0,RS_GCF_014224155.1,True
s__Pediococcus_acidilactici--RS_GCF_000146325.1,s__Pediococcus_acidilactici,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Pediococcus,213,1186,5897,2561.0,7083,411203,97.78,95.0,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,16.74,83.26,36.16,4.972,1931.0,RS_GCF_000146325.1,True
s__Limosilactobacillus_mucosae--RS_GCF_001436025.1,s__Limosilactobacillus_mucosae,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus,37,1249,5193,3197.0,6442,69475,97.06,95.0,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,19.39,80.61,49.63,4.158,1878.0,RS_GCF_001436025.1,True
s__Streptococcus_halichoeri--RS_GCF_009870755.1,s__Streptococcus_halichoeri,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus,21,1276,1642,789.0,2918,37693,98.39,95.0,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,43.73,56.27,27.04,1.287,1795.0,RS_GCF_009870755.1,True
s__Lactobacillus_taiwanensis--RS_GCF_001436695.1,s__Lactobacillus_taiwanensis,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus,34,1248,3520,1687.0,4768,68451,98.8,95.0,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,26.17,73.83,35.38,2.821,2013.0,RS_GCF_001436695.1,True
s__Streptococcus_suis--RS_GCF_000294495.1,s__Streptococcus_suis,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus,1621,1405,30083,16289.0,31488,3338242,98.49,95.2533,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,4.46,95.54,51.73,21.411,2059.0,RS_GCF_000294495.1,True
s__Exiguobacterium_A_indicum--RS_GCF_001939065.1,s__Exiguobacterium_A_indicum,d__Bacteria;p__Bacillota;c__Bacilli;o__Exiguobacterales;f__Exiguobacteraceae;g__Exiguobacterium_A,23,2341,2333,1382.0,4674,75804,96.62,95.0,Bacteria,Bacillota,Bacilli,Exiguobacterales,Exiguobacteraceae,Exiguobacterium_A,50.09,49.91,29.57,0.997,3296.0,RS_GCF_001939065.1,True
s__Staphylococcus_auricularis--RS_GCF_001500315.1,s__Staphylococcus_auricularis,d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus,13,1572,1801,1217.0,3373,28545,98.67,95.0,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,46.61,53.39,36.08,1.146,2196.0,RS_GCF_001500315.1,True
s__Rossellomorea_marisflavi--RS_GCF_001274775.1,s__Rossellomorea_marisflavi,d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_B;g__Rossellomorea,10,2950,3016,2202.0,5966,43663,96.14,95.0,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae_B,Rossellomorea,49.45,50.55,36.91,1.022,4366.0,RS_GCF_001274775.1,True
s__Staphylococcus_ureilyticus--RS_GCF_002902235.1,s__Staphylococcus_ureilyticus,d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus,81,1874,4787,2628.0,6661,215415,98.78,95.0,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,28.13,71.87,39.45,2.554,2659.0,RS_GCF_002902235.1,True
s__Enteromonas_sp900316365--GB_GCA_900316365.1,s__Enteromonas_sp900316365,d__Bacteria;p__Bacillota;c__Bacilli;o__RFN20;f__CAG-826;g__Enteromonas,21,828,4135,2950.0,4963,26774,98.29,95.0,Bacteria,Bacillota,Bacilli,RFN20,CAG-826,Enteromonas,16.68,83.32,59.44,4.994,1275.0,GB_GCA_900316365.1,True
s__Holdemanella_sp900556915--RS_GCF_024460475.1,s__Holdemanella_sp900556915,d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella,19,1326,8487,6449.0,9813,43023,97.22,95.9441,Bacteria,Bacillota,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Holdemanella,13.51,86.49,65.72,6.4,2264.0,RS_GCF_024460475.1,True
s__Mycoplasma_capricolum--RS_GCF_000012765.1,s__Mycoplasma_capricolum,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmataceae;g__Mycoplasma,29,804,876,419.0,1680,28173,97.34,95.0,Bacteria,Bacillota,Bacilli,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,47.86,52.14,24.94,1.09,971.0,RS_GCF_000012765.1,True
s__Staphylococcus_nepalensis--RS_GCF_014635045.1,s__Staphylococcus_nepalensis,d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus,23,1914,2124,1096.0,4038,63551,99.49,95.0,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,47.4,52.6,27.14,1.11,2763.0,RS_GCF_014635045.1,True
s__Staphylococcus_epidermidis--RS_GCF_006742205.1,s__Staphylococcus_epidermidis,d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus,1315,1709,37371,23037.0,39080,3135043,99.0,95.0,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,4.37,95.63,58.95,21.867,2384.0,RS_GCF_006742205.1,True
s__Aerococcus_urinae--RS_GCF_001543175.1,s__Aerococcus_urinae,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Aerococcus,26,1427,383,277.0,1810,45171,99.97,95.0,Bacteria,Bacillota,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,78.84,21.16,15.3,0.268,1737.0,RS_GCF_001543175.1,True
s__Mycoplasmopsis_A_pullorum--RS_GCF_001900245.1,s__Mycoplasmopsis_A_pullorum,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Metamycoplasmataceae;g__Mycoplasmopsis_A,11,553,878,453.0,1431,8895,97.37,95.0,Bacteria,Bacillota,Bacilli,Mycoplasmatales,Metamycoplasmataceae,Mycoplasmopsis_A,38.64,61.36,31.66,1.588,809.0,RS_GCF_001900245.1,True
s__Coprobacillus_cateniformis--RS_GCF_009767585.1,s__Coprobacillus_cateniformis,d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Coprobacillaceae;g__Coprobacillus,11,1982,4072,2729.0,6054,40482,99.18,95.0,Bacteria,Bacillota,Bacilli,Erysipelotrichales,Coprobacillaceae,Coprobacillus,32.74,67.26,45.08,2.054,3680.0,RS_GCF_009767585.1,True
s__Enterococcus_B_durans--RS_GCF_001544215.1,s__Enterococcus_B_durans,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B,143,1781,10751,5982.0,12532,412410,98.76,95.0,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus_B,14.21,85.79,47.73,6.036,2884.0,RS_GCF_001544215.1,True
s__Streptococcus_pyogenes--RS_GCF_002055535.1,s__Streptococcus_pyogenes,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus,2082,1249,14328,7989.0,15577,3607906,98.85,95.0,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,8.02,91.98,51.29,11.472,1733.0,RS_GCF_002055535.1,True
s__Listeria_ivanovii--RS_GCF_900187025.1,s__Listeria_ivanovii,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Listeriaceae;g__Listeria,28,1993,1615,842.0,3608,79603,99.77,95.0,Bacteria,Bacillota,Bacilli,Lactobacillales,Listeriaceae,Listeria,55.24,44.76,23.34,0.81,2843.0,RS_GCF_900187025.1,True
s__Lentilactobacillus_kefiri--RS_GCF_007989105.1,s__Lentilactobacillus_kefiri,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lentilactobacillus,11,1733,1270,832.0,3003,26977,99.74,95.0,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lentilactobacillus,57.71,42.29,27.71,0.733,2452.0,RS_GCF_007989105.1,True
s__Staphylococcus_saccharolyticus--RS_GCF_900458815.1,s__Staphylococcus_saccharolyticus,d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus,15,1547,1905,121.0,3452,39498,99.17,95.0,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,44.81,55.19,3.51,1.231,2633.0,RS_GCF_900458815.1,True
s__Lactiplantibacillus_pentosus--RS_GCF_003641185.1,s__Lactiplantibacillus_pentosus,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactiplantibacillus,68,1994,6479,2535.0,8473,234891,97.97,95.0,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus,23.53,76.47,29.92,3.249,3454.0,RS_GCF_003641185.1,True
s__Limosilactobacillus_fermentum--RS_GCF_013394085.1,s__Limosilactobacillus_fermentum,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus,118,1216,8992,4707.0,10208,236931,98.63,95.0,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,11.91,88.09,46.11,7.395,2008.0,RS_GCF_013394085.1,True
s__Trichococcus_flocculiformis--RS_GCF_900113645.1,s__Trichococcus_flocculiformis,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Trichococcus,15,1116,4716,2693.0,5832,31709,98.05,95.0,Bacteria,Bacillota,Bacilli,Lactobacillales,Aerococcaceae,Trichococcus,19.14,80.86,46.18,4.226,2114.0,RS_GCF_900113645.1,True
s__Bacillus_H_rhizosphaerae--RS_GCF_900142675.1,s__Bacillus_H_rhizosphaerae,d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales_H;f__Bacillaceae_D;g__Bacillus_H,23,2837,3669,2569.0,6506,98696,99.28,95.4953,Bacteria,Bacillota,Bacilli,Bacillales_H,Bacillaceae_D,Bacillus_H,43.61,56.39,39.49,1.293,4291.0,RS_GCF_900142675.1,True
s__Streptococcus_suis_P--GB_GCA_002831545.1,s__Streptococcus_suis_P,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus,143,1371,9179,3976.0,10550,338626,95.94,95.0,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,13.0,87.0,37.69,6.695,2368.0,GB_GCA_002831545.1,True
s__Mammaliicoccus_sciuri--RS_GCF_002901825.1,s__Mammaliicoccus_sciuri,d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Mammaliicoccus,307,1863,14894,8065.0,16757,867220,96.67,95.0,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Mammaliicoccus,11.12,88.88,48.13,7.995,2825.0,RS_GCF_002901825.1,True
s__Bulleidia_intestinalis--RS_GCF_009696165.1,s__Bulleidia_intestinalis,d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Bulleidia,20,1575,4794,3419.0,6369,47759,97.56,95.0,Bacteria,Bacillota,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Bulleidia,24.73,75.27,53.68,3.044,2388.0,RS_GCF_009696165.1,True
s__Bacillus_halotolerans--RS_GCF_001517105.1,s__Bacillus_halotolerans,d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus,45,2775,5747,3348.0,8522,185991,98.34,95.4726,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,32.56,67.44,39.29,2.071,4133.0,RS_GCF_001517105.1,True
s__Staphylococcus_warneri--RS_GCF_900636385.1,s__Staphylococcus_warneri,d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus,112,1755,7562,5068.0,9317,278183,99.05,95.0,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,18.84,81.16,54.4,4.309,2484.0,RS_GCF_900636385.1,True
s__Lactobacillus_delbrueckii--RS_GCF_001433875.1,s__Lactobacillus_delbrueckii,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus,240,1059,12012,4904.0,13071,468940,97.63,95.0,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,8.1,91.9,37.52,11.343,1954.0,RS_GCF_001433875.1,True
s__Erysipelothrix_rhusiopathiae--RS_GCF_900637845.1,s__Erysipelothrix_rhusiopathiae,d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Erysipelothrix,16,1299,1309,951.0,2608,27504,99.01,95.0,Bacteria,Bacillota,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Erysipelothrix,49.81,50.19,36.46,1.008,1719.0,RS_GCF_900637845.1,True
s__Virgibacillus_pantothenticus--RS_GCF_018075365.1,s__Virgibacillus_pantothenticus,d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales_D;f__Amphibacillaceae;g__Virgibacillus,18,2848,2143,876.0,4991,78576,99.44,95.0,Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Virgibacillus,57.06,42.94,17.55,0.752,4365.0,RS_GCF_018075365.1,True
s__Lysinibacillus_fusiformis--RS_GCF_003049525.1,s__Lysinibacillus_fusiformis,d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Lysinibacillus,40,2902,10157,6944.0,13059,188049,97.93,95.0,Bacteria,Bacillota,Bacilli,Bacillales,Planococcaceae,Lysinibacillus,22.22,77.78,53.17,3.5,4701.0,RS_GCF_003049525.1,True
s__Metamycoplasma_hominis--RS_GCF_000085865.1,s__Metamycoplasma_hominis,d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Metamycoplasmataceae;g__Metamycoplasma,55,478,2649,858.0,3127,45502,97.99,95.0,Bacteria,Bacillota,Bacilli,Mycoplasmatales,Metamycoplasmataceae,Metamycoplasma,15.29,84.71,27.44,5.542,827.0,RS_GCF_000085865.1,True
s__Fructilactobacillus_sanfranciscensis--RS_GCF_001436035.1,s__Fructilactobacillus_sanfranciscensis,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Fructilactobacillus,34,908,1743,730.0,2651,44773,99.32,95.0,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Fructilactobacillus,34.25,65.75,27.54,1.92,1317.0,RS_GCF_001436035.1,True
s__Parageobacillus_thermoglucosidasius--RS_GCF_001295365.1,s__Parageobacillus_thermoglucosidasius,d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Anoxybacillaceae;g__Parageobacillus,17,2485,3704,2054.0,6189,66368,99.33,95.0,Bacteria,Bacillota,Bacilli,Bacillales,Anoxybacillaceae,Parageobacillus,40.15,59.85,33.19,1.491,3904.0,RS_GCF_001295365.1,True
s__Lactococcus_cremoris--RS_GCF_001591705.1,s__Lactococcus_cremoris,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus,82,1427,8256,3504.0,9683,215973,98.64,95.0,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,14.74,85.26,36.19,5.786,2634.0,RS_GCF_001591705.1,True
s__Lactobacillus_paragasseri--RS_GCF_003584685.1,s__Lactobacillus_paragasseri,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus,53,1187,3966,1823.0,5153,102355,98.63,95.0,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,23.04,76.96,35.38,3.341,1931.0,RS_GCF_003584685.1,True
s__Faecalibacterium_prausnitzii--RS_GCF_003324185.1,s__Faecalibacterium_prausnitzii,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium,76,1631,13410,8408.0,15041,212685,96.65,95.0,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Ruminococcaceae,Faecalibacterium,10.84,89.16,55.9,8.222,2798.0,RS_GCF_003324185.1,True
s__CAG-95_sp000438155--GB_GCA_000438155.1,s__CAG-95_sp000438155,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-95,11,1659,7245,5779.0,8904,32771,97.64,95.0,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,CAG-95,18.63,81.37,64.9,4.367,2979.0,GB_GCA_000438155.1,True
